column_name,data_type,ordinal_position
blockchain,varchar,1
project,varchar,2
version,varchar,3
block_month,date,4
block_date,date,5
block_time,timestamp(3) with time zone,6
block_number,bigint,7
token_bought_symbol,varchar,8
token_sold_symbol,varchar,9
token_pair,varchar,10
token_bought_amount,double,11
token_sold_amount,double,12
token_bought_amount_raw,uint256,13
token_sold_amount_raw,uint256,14
amount_usd,double,15
token_bought_address,varbinary,16
token_sold_address,varbinary,17
taker,varbinary,18
maker,varbinary,19
project_contract_address,varbinary,20
tx_hash,varbinary,21
tx_from,varbinary,22
tx_to,varbinary,23
evt_index,bigint,24
_updated_at,timestamp(3) with time zone,25
