hour_utc,n_profitable_txs,total_profit_usd
0,15876,5467899.565464069
1,13282,6607959.934460783
2,20029,5082660.756525381
3,25286,5186846.465797641
4,17434,4744823.455857658
5,11198,3227357.4801432732
6,11279,4371112.470913856
7,9878,4820302.934954875
8,9382,3718067.261900152
9,10078,5562304.080153505
10,12695,3835531.5898679746
11,12298,5090593.110251952
12,31580,20710936.774246223
13,29162,12041771.2856435
14,23839,7634054.940236851
15,46361,12837269.947574293
16,35898,9788911.418421488
17,25115,6444475.015260962
18,25518,8046875.129683516
19,29443,7615154.4089716915
20,28747,6924340.304395605
21,31787,6912258.853823443
22,37967,12254142.723337697
23,29192,9868870.026721967
