hour_utc,n_profitable_txs,total_profit_usd
0,13852,5060655.774715413
1,10237,5786130.54764694
2,14865,4365776.201154542
3,22913,4769314.903192618
4,15461,4141681.901515843
5,9820,2884837.207656801
6,9741,4110125.145184196
7,8995,4585736.426805123
8,8664,3526054.6959521174
9,9273,5268952.991263107
10,11677,3419140.3429371584
11,11575,4670173.375643693
12,29724,19796881.9871376
13,27636,11349912.257065484
14,21200,7180738.981763478
15,43389,12027928.544950739
16,32677,8882084.403807588
17,23024,6082733.643334531
18,23549,7528989.421003329
19,27426,7307790.886233105
20,26932,6546596.910580046
21,28964,6537369.686539585
22,36072,11635385.439772235
23,25880,9045700.277286876
