hour_utc,n_profitable_txs,total_profit_usd
0,350,5201.842137821542
1,580,23365.989196241575
2,466,7856.89389172649
3,698,10050.539797852016
4,617,6960.583136304823
5,340,6583.056219837264
6,193,4259.694465480136
7,329,5665.225121639305
8,221,2965.224401991297
9,241,1882.1963543916606
10,299,2300.3435371958403
11,393,4464.511794469862
12,2237,33004.23503200344
13,680,13588.622414880612
14,401,4109.917608270917
15,1006,20746.28927061897
16,749,10308.4982236957
17,534,6077.501044615863
18,677,17544.49413651601
19,595,8990.395822458626
20,794,11330.230915834858
21,991,13389.367399753033
22,3027,45042.58480807275
23,777,17610.55873740306
