executor,n_profitable_txs,total_profit_usd
0A45DCD332083D412C047F7A20CE804A3FC32C25,995,1430834.4175717398
942B41D990133D8D9989BF3BB2F89F9AA1D127FD,244,1301767.5003521366
72774E2FE1992D5DA8C6E9CEF73FD2AB980C0B98,22,1219831.403473412
89E9927BA4E38A7AEF0E2D5D212555FE3285F861,1986,1093960.167148473
A0002D9A726DA6CF41592B1821FEED1E8422B3E5,78,1020192.3311667102
C021A7001E3A4E8BC2F4473AF7A20D857A03F59C,4,963767.4611710001
ED96375609E8AE8B4839BF2942A19DA91E65D3B7,130,949819.5466441477
08D0973F2967709E97FB477F5904E2E3652B2077,1288,886843.523874594
B8F305F27CCC406373DE0082CC06CB1D065504EA,1,885515.8121178434
8C35B0B65FC680DAC8719B79D01B4C46590D4D8B,14,703524.7756203009
1EF8ADE2B7DF9C04A94002EFE57156102BCE100A,356,617744.4922160002
433759E6339A9AE58603288AFFD066631AA1773E,842,602587.3438021159
9FE8296FDC267E1229A96C51BE8CC86B4517FF3A,1196,570688.3415820003
0000000005F122FDDE066942195C10106D490486,62,557629.4386673139
E6012A285F3702AA6D7AF7C3006B79FB2DF10D08,88,551425.4263556802
43370648AA914E8D3C0CF1C10B00F2A636AB6C92,923,545486.0265697974
893D2B6394D5E710272D05A0E5CB12BFCD406F1C,6,540922.717663
43376E27549A933636719A35D1B7B22A6F3F8FD1,848,539601.4715917424
43370473D8D9527C84D8CC9464DBBED89085DDDF,803,506778.10187396815
43370330BE39D388F6219D8241DC1F76FB9DF268,845,505555.127564484
4337006F33E2940FCBEBD899BF2396117E65DF9B,856,456569.8196956612
8678A9AD1DA7AACF322D88149F7A67957B17B44B,824,455200.92708730086
4337045B9BC98B68963633AE96B34446A0C8F965,847,441648.97690692823
43370350F0A1C28ABA50545FB34722B06AE25627,887,440221.2735602369
4337B8B14D6F72F1F2141589C97BE2B07B85365F,834,432232.7540070689
4337021D22BCD0775A0FD1B4A6665051DC15D995,867,424530.40656694054
1D9E5876A63443C2D8FBD331B9E7C0F565CDDA53,47,424270.6677787669
4337016838785634C63FCE393BFC6222564436C4,888,421853.20002773846
433705768549B21D1E681FE454A7D2FF26A22E1C,858,421462.3159942648
5E4D8713BB1F33AD7DBE1CD9189816969A3C8A56,57,419662.90466338664
C5FBF83DCAF3656A797836156D9729D31718B0E0,59,416341.28519042925
433702256B464248DCBE403C1334757BE4ED9F26,880,416338.28385739314
43371BF8C9701442AD5E97EBFF025FBBBAD7C021,834,414499.85190544894
4337005DB25DBAD41DA5692BA1188751EE5D98B6,862,413185.24213009555
6113EECEA9998199825A9DF4811368F069D85A50,77,413089.0946464163
4337BF8F8006AA14C1BAE739F3EAD9B7FEC7F2E1,837,411014.7527706169
43370402CBEBA6AB53FBC8A52894537024A39269,847,410749.29841952183
43370371E0BB085D04D02A815230AAF67B35EF25,856,408245.74063044833
43370277ECAAB8CB1F98622138EFC679F9AC3063,883,407577.58020008943
3F4E97B0A7A9924A7CBB5A3A430B62658A8604B9,66,405191.55184916843
4337038429B76948EE97EB2D8115513277C3ABF5,831,404614.4442993931
4337053498BF3DE9BAB4D55A345F727DBA05D6AF,868,403743.4633599482
4337050608D02173FEEA2E27BA65A1AF0F948538,853,400440.15198803967
43370513F9A748EE8EE1CD856EA115756B8A7B5F,842,396369.67074714694
4337E1A2689CF73ECC12D798477E1EDE4F4D56C6,858,392145.14400532254
64DDC0430EEC16DBF928E985177B5A93F4CB3D27,68,391309.6067926183
43370368DCCCEB147C89D1D78F14589225220290,857,390285.2432019634
4337062690416E632D08D14E819892D6498F9AD4,839,389335.3405885477
433700890211C1C776C391D414CFFD38EFDD1811,897,388989.91343020095
4337031ADE3A53D10121F350369907076B6D32A4,856,388803.30041436304
11BC74E240C13F7067529B21DFB9933FF7FCB136,33,388232.3192084908
4337013EF5CD421CEF649FC58C1B0DEFD37BBEB1,853,383215.15263337706
43370460D26B10DE805D4CDFE4D331ADB7219FFE,886,382758.53844010294
433702948D7BE4201A2BCEE6C349AD807C547A5D,903,381517.8012843606
4337001FFF419768E088CE247456C1B892888084,832,379984.2028389041
E089EC6B790D6E274236C5883F079E615B96A3AA,45,379230.3051746162
43370351C9A297BF8377CA1E46576401A9AC4BBA,859,378840.13935811544
D5B7C7969EABAF5F10EBE440B7E89DD16FA51EA8,823,376974.9810002193
9E4805ED110F852A88CAC14D24B8777602AC471E,132,376511.83412766433
4337015333E7C8A3C5AF4ACD2C4AA4BEFB0D663C,888,375000.72285707114
4337020F43D3D7D2F5E4160397EFEA49AEFA5E7D,914,374874.46400732594
68C1BEB5890E2959207AFCFBD12A15F55909D93F,68,374554.592529116
4337A10434F284B583402514D8F4539BC89983D9,857,372194.162466642
43370606D17D51D3C34C2319C5F8F1411E18A4AB,862,371793.10793874314
43370597AF41D9345B1B91391849DCDB748C2838,859,369916.7038733581
433701EF95649A78F7A8C9609BF82FA169FD0F6B,880,369633.67859448947
4337044E8B7A221D141FE622EB2460F050A6B6C2,874,368069.60622209805
4337056764A16B490176FFB8DF5027964A656EF9,814,366767.8040036302
4337009BE43C7ECC9BFBDE0F1780553AA065187E,853,361915.6028759338
4337011463EF6BD863E47E7B5E743D2522261131,869,361685.9742536573
D8C3F1666D2318D88628FA728E545FDEC0096E43,60,359863.6399886407
43370308B53E3611521BA48E2F7632A5644D7B1F,901,358913.78513903805
6A9133B807DE7CF1CE0073C3B5D6DA8B4F0140E5,63,357731.3603402796
43378E9B88DA4D4E34056C975A689A626EFF13F7,852,356505.9769300649
4337F1E57AFEED45A765216FC961F3DC1AFAE09F,858,355052.04946161265
4337175CD1D7D27E93F4269CDC7CBE6A6FBCCA1B,856,354317.9717828605
4337002C5702CE424CB62A56CA038E31E1D4A93D,840,353866.7754688859
3ABE609F0197FDAC93B2044CFAE3B60554B14A36,4,352851.99986800004
110F72913A6B509F4D7B566CC56DE9CE216E51C6,162,352616.9383118311
4337BF7AFCEEF9788A60C4CB98830ED6D8E79FB1,925,352516.6931935001
43370525D26C72E0A096E19CD4F45367B4B29369,885,352505.880867372
D67EBF60EED8C8CAC3350B29E1845984F55F2F70,163,351170.3358877944
4337017D2E3F5E4160A27F6FDBDC38719343C62F,878,349657.6348297876
4337216E7D0687BFCCF868058E10C9685BA116BF,911,347114.01708029275
4337043AEDB812F09B4EB3682BE2CD510D38217C,851,346220.4061947114
4337FFFB5082DEA8B2E188E8288EAFAA12F12F0F,847,344797.625981601
4337054681FB21ECD8576720EEE873F5358EE061,887,344372.03059291356
4337AB4FF1AE249F0FB4BED59662F20EE1764983,859,342960.5429747666
43370146366CFEA21302962AE3A558D72BBCC487,857,342854.74626433174
2A818A31D9E4CC51217ADDA95B2B754ACD9E58F1,145,339784.8594543513
BC7AF78D5865ECD1C4ABC17CB2D28CC59B470130,153,338401.3246622475
058A6A1A8CF9912F01E90B83288F5CBEEFBC0D3B,467,334382.71479374374
433711CDA558C0FA32A4B8554939AB8740B9F5AC,884,333505.0816261353
4337023CCE7419F20DB4057B4DC3E2EA0C2151E0,883,333503.77045780775
433702873E33D4846D399A75AAF96EACF181D0B2,828,333349.4205045043
4337012EAF1F862B8DBDC6B62A01782AE01EF038,837,333245.45128637215
4337004EC9C1417F1C7A26EBD4B4FBED6ACF9E5D,861,331483.46473991085
433704940AD127F33B441418A3C17E4C47E45393,851,330411.188455092
4337019D937EBCBD73DD750072D86C1CE664B350,887,329526.3791825845
43378EEBC955B8A0EA621AB4D1316CD8AA9A9EF6,847,329281.0712138845
43375CE534EA8D3B6B8876186084044F03578826,860,328723.7235179534
4337FA4D86D4B6A2634900EFFB713BF6FB685835,856,328340.3967944496
CE749058768B7DBD32D1162649666DD48DA72B42,60,327466.05408247124
4337CC3BFC63A89599BF9B3B7271AF7DC7183C3B,877,327402.52189324895
43370108F30EE5ED54A9565F37AF3BE8502903F5,864,327233.0783803752
4337BB3F3C9645A2A76B6652C7A9F6DF25BC39A8,840,324876.12546069996
92D435C96E63C43E12D6D0AB28F6B0B04072F765,5,324651.2265203424
43375CE21E2C538A13BD3B46DD5C6001CA7C9B7C,820,320706.8260859766
433768867635038EEF028526125D551B580BBC7A,838,320422.8609733061
43370589C7500E4BF597B3E620B094DC27CE3392,865,315917.9923294113
4337026D731283F9917FA3C9194D74809BFBEC26,887,315347.32554999826
43379206F4BBA42B231450B533DAC402F17215E5,836,315032.91567161324
43373C042E4217E29B65C408857553F8E7E84B72,894,315011.7406300183
4337003FCD2F56DE3977CCB806383E9161628D0E,863,314586.0412164968
433785AF3A50BB3D281D3D44DBD0391A30C6CD3E,833,313419.53538248426
43376AC2EB82E4C49D31D6663E20DA6DB6AC3DDE,885,309602.8944006393
4337032D9C9291F05BEBDED166D947F22B25FA00,865,307588.7325044974
4337070AC081475A9A04143106893D2606DA2EED,870,307154.2413440094
4337042D8A539C80C92D84E141271DB09F9BEC68,949,305008.80982469703
4337061FE1F4765C4A51C5F2EB7AE644F2456F8B,843,304294.5213277777
43370240C309F6CC0815929A176609267971224F,789,303496.5670428078
D821359C0CEFC9557AD058C2D4696EA1B8E5289F,131,302225.1385455079
B71CF7D28827779303FE471AA8C6E8640704B45D,262,301063.00685903104
F70DA97812CB96ACDF810712AA562DB8DFA3DBEF,661,300472.5928692069
4337B26CA98C42CD74672E06A033AC8CD1CD5DA8,861,299837.8758603015
4337041D8047569945950EC533E3F1AF96D7BE70,791,298659.3263873474
4337063E01D266B3AEA4A4E91053025CBC8E3A73,833,294918.73897808406
43376F699AF50F62E157FFAD4BC47AD7C33056C7,860,294450.5263823707
43370483638FD43F9A9ED2884C028BFA4E546CA5,844,291666.63611665444
6ABEA4998F9EF34EE1CDA5715CCCA0E4D4EFB730,2013,290554.1262293936
43370398500DAE4BA10669646A1FD1577407F637,869,290483.4385558591
433707177EEC628061E37777483A7FDE7C0F403C,868,289453.7402771088
1EF264F336572B083B2BB9FFCE54B7FC96F27CA8,139,288634.5876149064
4337055BCA06A9D578086E56546CA214A64AC271,816,283464.5113257673
43370188473A398394E4BA4A7C7CBB2C6265E22A,798,281604.69225148193
433735F12BC7C3729BEE7B2338445D38FBB81B62,827,277925.96998244466
4337034C17597470B36CE40A761F2E9F55A2DF48,859,276931.1590665853
4337007AB182EBE9CDB0BC4B96734C32176D44CC,811,276375.92646966333
D9BC5189FA908E9626FF0713D6A979A639566F48,870,275932.2612614795
43375753EBA3D85C9896D4855E210A0780ED11C2,540,274664.6984654963
43370250BFC02C7F085CB105558DA41E9CDB2D79,848,273147.97662051744
9DB6DEAC60DD9573CDB05B8D152F5616C7862C62,58,271458.55652125116
43375C62236BC5524B02D388BAAADC5BB5F56168,835,266267.64874770044
F72390CC9F2488C46E16A8A6A3A5F1548419FAB6,41,263787.12415295804
D4AFB8C68F85AD386BE3AF34CF9E1224B2D9109C,121,263697.659636804
4337B71C61E117E3EE144A4C714DB81772D02D4D,795,260139.2259159951
E209E0047731AA494289E1AF9A0D03DA19C5EF08,503,259603.84243788113
9DEEFDA95105C7AC01A24AA30A595F1C6E523BAB,633,257663.50731899988
AB1757354147EDEB84418A494347ECE4AF983477,137,256221.166519117
0792DFF115137F61A43123DF00A19E525B22956B,49,255212.16109395822
1F421BCE684B0A7CD2926744A6EDC7EDDCB048B4,48,247758.3883629514
E90C0A6C84125E82B1F8F5F3167953E73338F964,38,246757.29169798264
7382D9A0C44CF8B9A781CC043892326C9544AE2D,1,245464.708898
5A82BFB1ECF8C8019A6BF52B3F45975BA12729B5,124,243877.56638226783
56995CBBCB598ACFD40F053C7DDC48F4C97A294F,123,241125.34210268728
0EC4E45F9CE3020024C0418A74CD31FBC487038F,465,236421.76488570674
CC4BC7882D5EC4A3716E589AB3D816B61AE47A1A,496,231749.58688505396
C9A155FCBD61106B37E2E5B7598A6B4BED7C88DB,19,224516.47637091333
ACD6B4DA1C342F2EDFF810E288221C257C662A34,23,215861.71193422226
18DD3C14E34C1BC379F7538068C59160D9F68E25,489,214828.517152251
919968A4238A54B381F022A360260EF5D7E015AC,447,212577.68207103843
728F51950FF096DC03A48F5E83F45AC8BB75F500,481,211400.0852417554
D71212934E832CA1D1ADCA7C6AAB03642EDD3279,1039,211018.22632578775
331D9A049D496385998067ABF6CBB6371C8D2466,478,210331.8737944445
A4DEDDA59F2908B92AE192CFD494839373BCB3C4,3,209813.24278319435
A67D7EB4DC68FA6CE8E34EF8CADAF075B9893FBB,516,209023.344986426
F42B73D2E4D3912EADE2A5F7AB39B54064C2ACEC,470,200731.5868781478
D71212080D90FFA50A80BFF2AF2ADE6F99F29B96,937,200324.01494060585
668001289B9DA5A23840A6D4FA195D977F23BB3B,166,195260.05840474833
370A7E2D300C14D79D4A7EE07AACA46C4B3012CF,477,194980.1527134299
560394B7F872FCD5D02FA34112F8C50D7F5D47ED,666,190003.47904841296
4381045063B19A615A272733FA6B5F169B622646,462,189103.0531002096
D71212029C174836CCF1CAE90F4723D43D036223,1050,187529.9714979272
D71212990D2BE6828E8992171A4BA05DBC439DAE,1042,185007.1185906746
88EC6B18D550CE42123365730D53E0C42B485750,159,184516.0721661238
