executor,n_profitable_txs,total_profit_usd
0A45DCD332083D412C047F7A20CE804A3FC32C25,990,1430614.1086303988
942B41D990133D8D9989BF3BB2F89F9AA1D127FD,242,1304446.3605139973
A0002D9A726DA6CF41592B1821FEED1E8422B3E5,78,1020174.181985715
C021A7001E3A4E8BC2F4473AF7A20D857A03F59C,4,963767.461171
ED96375609E8AE8B4839BF2942A19DA91E65D3B7,130,949843.5779045408
B8F305F27CCC406373DE0082CC06CB1D065504EA,1,885502.1044791173
89E9927BA4E38A7AEF0E2D5D212555FE3285F861,1558,759668.7033691063
8C35B0B65FC680DAC8719B79D01B4C46590D4D8B,14,703524.301573971
72774E2FE1992D5DA8C6E9CEF73FD2AB980C0B98,22,608420.4883901621
9FE8296FDC267E1229A96C51BE8CC86B4517FF3A,1196,570688.3415819999
433759E6339A9AE58603288AFFD066631AA1773E,731,567813.9908897838
0000000005F122FDDE066942195C10106D490486,62,557619.8182807433
E6012A285F3702AA6D7AF7C3006B79FB2DF10D08,88,551415.5845786203
08D0973F2967709E97FB477F5904E2E3652B2077,1032,547645.6831115878
893D2B6394D5E710272D05A0E5CB12BFCD406F1C,6,540922.717663
43376E27549A933636719A35D1B7B22A6F3F8FD1,758,524612.4599755849
43370648AA914E8D3C0CF1C10B00F2A636AB6C92,824,521956.5046706938
43370473D8D9527C84D8CC9464DBBED89085DDDF,714,486375.96345633746
43370330BE39D388F6219D8241DC1F76FB9DF268,746,478444.6161629966
4337006F33E2940FCBEBD899BF2396117E65DF9B,752,436307.8345945592
4337B8B14D6F72F1F2141589C97BE2B07B85365F,756,423966.4434301213
1D9E5876A63443C2D8FBD331B9E7C0F565CDDA53,41,418063.56055524235
4337045B9BC98B68963633AE96B34446A0C8F965,764,415455.9722831755
6113EECEA9998199825A9DF4811368F069D85A50,76,413078.39118427585
C5FBF83DCAF3656A797836156D9729D31718B0E0,59,411912.18853593
4337016838785634C63FCE393BFC6222564436C4,795,407174.5660082978
433702256B464248DCBE403C1334757BE4ED9F26,781,401756.4483098302
43370350F0A1C28ABA50545FB34722B06AE25627,809,401287.1061536338
433705768549B21D1E681FE454A7D2FF26A22E1C,762,401235.87595227174
4337005DB25DBAD41DA5692BA1188751EE5D98B6,785,399587.63913234946
3F4E97B0A7A9924A7CBB5A3A430B62658A8604B9,66,397552.4547489256
5E4D8713BB1F33AD7DBE1CD9189816969A3C8A56,55,396716.34986178984
43370277ECAAB8CB1F98622138EFC679F9AC3063,789,395892.35656311875
43371BF8C9701442AD5E97EBFF025FBBBAD7C021,744,395615.5412776021
43370371E0BB085D04D02A815230AAF67B35EF25,767,394013.26865232235
4337021D22BCD0775A0FD1B4A6665051DC15D995,770,392280.37389427284
64DDC0430EEC16DBF928E985177B5A93F4CB3D27,67,391186.397418193
4337BF8F8006AA14C1BAE739F3EAD9B7FEC7F2E1,744,390003.0022931955
11BC74E240C13F7067529B21DFB9933FF7FCB136,33,388223.31628651783
4337038429B76948EE97EB2D8115513277C3ABF5,732,387371.9881817621
4337050608D02173FEEA2E27BA65A1AF0F948538,757,384960.8314246416
43370402CBEBA6AB53FBC8A52894537024A39269,747,383610.2312865865
43370513F9A748EE8EE1CD856EA115756B8A7B5F,745,380430.6144829261
4337053498BF3DE9BAB4D55A345F727DBA05D6AF,773,380205.9225654652
E089EC6B790D6E274236C5883F079E615B96A3AA,45,376733.7647447836
9E4805ED110F852A88CAC14D24B8777602AC471E,134,376529.96658776223
D5B7C7969EABAF5F10EBE440B7E89DD16FA51EA8,804,375985.25864627055
433700890211C1C776C391D414CFFD38EFDD1811,802,373475.6889998954
4337E1A2689CF73ECC12D798477E1EDE4F4D56C6,757,372057.8525472893
43370368DCCCEB147C89D1D78F14589225220290,784,371058.5445791787
4337013EF5CD421CEF649FC58C1B0DEFD37BBEB1,760,367690.93523204635
433702948D7BE4201A2BCEE6C349AD807C547A5D,811,367546.0433507189
4337001FFF419768E088CE247456C1B892888084,743,366162.67820959847
43370351C9A297BF8377CA1E46576401A9AC4BBA,769,365844.96879894525
4337031ADE3A53D10121F350369907076B6D32A4,766,361466.1721611632
43370460D26B10DE805D4CDFE4D331ADB7219FFE,802,361053.5242779991
68C1BEB5890E2959207AFCFBD12A15F55909D93F,67,358379.20743163547
43370597AF41D9345B1B91391849DCDB748C2838,778,358348.8357754224
4337A10434F284B583402514D8F4539BC89983D9,755,357415.5026069635
433701EF95649A78F7A8C9609BF82FA169FD0F6B,791,357103.40629929607
4337062690416E632D08D14E819892D6498F9AD4,753,357095.83237958216
4337020F43D3D7D2F5E4160397EFEA49AEFA5E7D,809,356371.9578313406
4337044E8B7A221D141FE622EB2460F050A6B6C2,773,355748.6580594738
6A9133B807DE7CF1CE0073C3B5D6DA8B4F0140E5,63,352970.4062420124
110F72913A6B509F4D7B566CC56DE9CE216E51C6,162,352610.865971701
4337009BE43C7ECC9BFBDE0F1780553AA065187E,763,352265.6093729438
43370606D17D51D3C34C2319C5F8F1411E18A4AB,773,352036.70731838903
D67EBF60EED8C8CAC3350B29E1845984F55F2F70,163,351164.3381356151
4337015333E7C8A3C5AF4ACD2C4AA4BEFB0D663C,792,350574.87094808265
D8C3F1666D2318D88628FA728E545FDEC0096E43,59,344274.69097165874
4337175CD1D7D27E93F4269CDC7CBE6A6FBCCA1B,774,340479.46329684526
4337056764A16B490176FFB8DF5027964A656EF9,726,340095.7602202847
2A818A31D9E4CC51217ADDA95B2B754ACD9E58F1,145,339778.94527549326
4337011463EF6BD863E47E7B5E743D2522261131,769,337834.3088599255
43378E9B88DA4D4E34056C975A689A626EFF13F7,756,337272.19515663927
BC7AF78D5865ECD1C4ABC17CB2D28CC59B470130,151,337200.08882762975
4337002C5702CE424CB62A56CA038E31E1D4A93D,752,335908.4480550703
43370525D26C72E0A096E19CD4F45367B4B29369,787,335362.9731361776
43370308B53E3611521BA48E2F7632A5644D7B1F,796,335004.2938218554
4337043AEDB812F09B4EB3682BE2CD510D38217C,750,334371.43635687866
4337017D2E3F5E4160A27F6FDBDC38719343C62F,783,332241.3525250773
4337054681FB21ECD8576720EEE873F5358EE061,787,330641.2510676263
4337F1E57AFEED45A765216FC961F3DC1AFAE09F,747,329239.76343881455
4337FFFB5082DEA8B2E188E8288EAFAA12F12F0F,754,329172.6845757406
4337AB4FF1AE249F0FB4BED59662F20EE1764983,775,328460.83943120507
4337BF7AFCEEF9788A60C4CB98830ED6D8E79FB1,835,324028.83803192794
43370146366CFEA21302962AE3A558D72BBCC487,763,323064.1835067606
433711CDA558C0FA32A4B8554939AB8740B9F5AC,795,321755.99740861135
