max_profit_usd,n_legs,n_pools,n_txs,total_profit_usd
247056.56750570954,6,6,9,1289221.1526374344
885502.1044791173,22,9,1,885502.1044791173
268258.46438200003,4,4,2,513723.17328000005
252407.65194900002,3,3,3,496493.13008149515
166815.17929402014,14,14,3,376521.60887149
141157.69512085844,5,5,3,357385.41119002795
256463.67935400002,8,7,1,256463.67935400002
116108.4933030524,2,2,2,228178.53205117953
186637.665486,5,4,1,186637.665486
164150.90240883836,7,6,1,164150.90240883836
137944.01942949256,15,15,1,137944.01942949256
115149.228507,8,8,1,115149.228507
112008.740516,7,7,1,112008.740516
106459.4055962621,9,8,1,106459.4055962621
106410.58366206061,11,11,1,106410.58366206061
103999.3727160256,13,13,1,103999.3727160256
