amount0,amount1,amount_bought,amount_sold,leg_index,pool,token0,token1,token_bought,token_sold,version
-174488344653743419431,1875035222061255717001225,,,53,C4A21F9D6485FC5893DD4A491B320A83DAF4DA1D,0BD7D308F8E1639FAB988DF18A8011F41EACAD73,2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,v3
,,59191507115223957639,625011740687085239000406,56,0000000000000000000000000000000000000000-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,0000000000000000000000000000000000000000,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
,,144937902825,625011740687085239000406,59,5FC5360D0400A0FD4F2AF552ADD042D716F1D168-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,5FC5360D0400A0FD4F2AF552ADD042D716F1D168,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
,,49855949093,208337246895695079666802,64,5FC5360D0400A0FD4F2AF552ADD042D716F1D168-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,5FC5360D0400A0FD4F2AF552ADD042D716F1D168,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
,,228140300133673334086,208337246895695079666802,69,D0601CE157DB5BDC3162BBAC2A2C8AF5320D9EEC-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,D0601CE157DB5BDC3162BBAC2A2C8AF5320D9EEC,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
-19555677928258682458,208337246895695079666802,,,84,D78480CAFEF722D75519E13B9F516E5704D0D659,0BD7D308F8E1639FAB988DF18A8011F41EACAD73,2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,v3
,,19533612326894829135,208337246895695079666802,88,0000000000000000000000000000000000000000-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,0000000000000000000000000000000000000000,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
,,218239544523701665152,208337246895695079666802,92,D0601CE157DB5BDC3162BBAC2A2C8AF5320D9EEC-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,D0601CE157DB5BDC3162BBAC2A2C8AF5320D9EEC,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
,,47584932037,208337246895695079666802,106,5FC5360D0400A0FD4F2AF552ADD042D716F1D168-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,5FC5360D0400A0FD4F2AF552ADD042D716F1D168,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
,,45898528328,208337246895695079666802,116,5FC5360D0400A0FD4F2AF552ADD042D716F1D168-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,5FC5360D0400A0FD4F2AF552ADD042D716F1D168,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
,,209023029347507575695,208337246895695079666802,121,D0601CE157DB5BDC3162BBAC2A2C8AF5320D9EEC-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,D0601CE157DB5BDC3162BBAC2A2C8AF5320D9EEC,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
,,33636458479,156252935171771309750102,135,5FC5360D0400A0FD4F2AF552ADD042D716F1D168-2E8C31162B855A2FFA90F6F8634643AD6F111E18,,,5FC5360D0400A0FD4F2AF552ADD042D716F1D168,2E8C31162B855A2FFA90F6F8634643AD6F111E18,v4
