avg_gas_used,avg_l1_fee_scalar,avg_l1_fee_wei,avg_l1_gas_used,avg_l2_fee_wei,executor,n_tx,success,to_contract
114758.86422976501,,,,28725705266652.742,49E700C831863E67457E5706FF2F5697AE420FA8,383,False,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
461192.0375,,,,79149382458575.0,49E700C831863E67457E5706FF2F5697AE420FA8,240,True,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
581895.268852459,,,,83512429916242.62,4A5CCF5AC7CFA7B752E5FE0B019245A9AB3A6331,305,False,7AE9E74632EBB0FE15CD0A043A876FFB84AC76F6
1177951.9642857143,,,,177104956514126.97,4A5CCF5AC7CFA7B752E5FE0B019245A9AB3A6331,252,True,7AE9E74632EBB0FE15CD0A043A876FFB84AC76F6
69617.18299043755,,,,21922618685520.43,4DB7080FEBC684E96FBBD367F248173E3DE9E003,6902,True,B8F179FA522A3413116F3557B247A827AD0103B0
157013.86348575214,,,,45426331705675.28,6F0AB6D37A0CA891BF61BFA139CAEDB70A036230,1509,False,58ACCAC89520A9FD059F1EA0A2B5263DDEAD01DC
877899.9821428572,,,,132965515748083.33,6F0AB6D37A0CA891BF61BFA139CAEDB70A036230,168,True,58ACCAC89520A9FD059F1EA0A2B5263DDEAD01DC
135352.77263581488,,,,31745436735859.156,71B20F298B6B90424853D6AD178BCDD969DABF0F,497,False,B4C42A6EFB057F32430582BA17A47F2888E1F8CA
465403.3904109589,,,,88649793599541.1,71B20F298B6B90424853D6AD178BCDD969DABF0F,292,True,B4C42A6EFB057F32430582BA17A47F2888E1F8CA
271647.49592212576,,,,44115316540097.05,7660E7E9E674EFDF5CE56B14593DCB7482FB95FF,7602,False,1521027B665FA38FA4A642991607AD708376DD7B
512143.35454545455,,,,88938474619436.36,7660E7E9E674EFDF5CE56B14593DCB7482FB95FF,330,True,1521027B665FA38FA4A642991607AD708376DD7B
105560.68814432989,,,,25547191844432.99,7FE3F1051D64E324230FB540C5F50F549D569C96,388,False,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
467816.30666666664,,,,83406849656355.56,7FE3F1051D64E324230FB540C5F50F549D569C96,225,True,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
164737.36930455634,,,,33461973563273.383,824ABDA7E8BFCF47C543761C50BC7BF6756DEDA9,834,False,4136DA0962588710967033AC1127DA9C9E638C7D
609121.423030303,,,,93499039525224.25,824ABDA7E8BFCF47C543761C50BC7BF6756DEDA9,825,True,4136DA0962588710967033AC1127DA9C9E638C7D
124839.04247104247,,,,27863331387752.895,968A950EC7A3FA0487AC1F9B541B98A4CE22C3E5,259,False,B65E569A8D2FDAB58E13B34419C3DC88D55076CE
475624.4048780488,,,,86875251785941.47,968A950EC7A3FA0487AC1F9B541B98A4CE22C3E5,205,True,B65E569A8D2FDAB58E13B34419C3DC88D55076CE
112478.40759493671,,,,25542139929346.836,9FB5031CCB57E7850262C6BF805F0C5C84125620,395,False,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
469373.6092436975,,,,88797921376504.2,9FB5031CCB57E7850262C6BF805F0C5C84125620,238,True,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
124975.80078125,,,,30459267535972.656,A808F09FC880312C4ED229F15D8D41EEC4C0D72D,512,False,B4C42A6EFB057F32430582BA17A47F2888E1F8CA
468631.25471698114,,,,88497858710798.73,A808F09FC880312C4ED229F15D8D41EEC4C0D72D,318,True,B4C42A6EFB057F32430582BA17A47F2888E1F8CA
130988.23724489796,,,,28190271178989.797,B0BFB9FD9166067360AE25754CC3314258E4F335,392,False,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
466690.2620967742,,,,84671597516508.06,B0BFB9FD9166067360AE25754CC3314258E4F335,248,True,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
355819.7534562212,,,,72201394512574.33,B4864F7F85EB2FDBD58B4293A2B9BD684FB13336,4774,True,ED1C3DEA98FAEB5FFD953AE255E53897BD068D94
198538.77157360406,,,,46710990877673.09,B4864F7F85EB2FDBD58B4293A2B9BD684FB13336,985,False,ED1C3DEA98FAEB5FFD953AE255E53897BD068D94
157991.4880095923,,,,30693433038177.457,C27A2B4BD5B374C3CB3C711E17901628824F8258,834,False,4136DA0962588710967033AC1127DA9C9E638C7D
572433.661407767,,,,90552205236230.58,C27A2B4BD5B374C3CB3C711E17901628824F8258,824,True,4136DA0962588710967033AC1127DA9C9E638C7D
589310.0154028436,,,,93828352529869.67,D83E60D273FD0CB3B05C2611DB940FECB7B6CA64,844,True,4136DA0962588710967033AC1127DA9C9E638C7D
160873.128992629,,,,32041604061181.816,D83E60D273FD0CB3B05C2611DB940FECB7B6CA64,814,False,4136DA0962588710967033AC1127DA9C9E638C7D
253221.45421759167,,,,41854304381282.29,DA8EF690D9C9B6C7DB1A5F95943C838309306B03,4991,False,0CF8C1789824523B82A0077007E19A97CA6D0E0B
435250.60120845924,,,,69988933732531.72,DA8EF690D9C9B6C7DB1A5F95943C838309306B03,331,True,0CF8C1789824523B82A0077007E19A97CA6D0E0B
24824.0,,,,3225034784000.0,DA8EF690D9C9B6C7DB1A5F95943C838309306B03,1,True,4CD00E387622C35BDDB9B4C962C136462338BC31
562882.9509803922,,,,79805964029771.23,E3DCD9730081A5521F434303BB86D2613786CA83,306,False,7AE9E74632EBB0FE15CD0A043A876FFB84AC76F6
1136132.6433333333,,,,153698191276140.0,E3DCD9730081A5521F434303BB86D2613786CA83,300,True,7AE9E74632EBB0FE15CD0A043A876FFB84AC76F6
125972.02088772846,,,,26531955785785.902,E5B033407AD25FD1C12151650B0F2AE4830FCD68,383,False,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
461471.905982906,,,,80483546718196.58,E5B033407AD25FD1C12151650B0F2AE4830FCD68,234,True,9C9F4AB68C01278D689CD300CC7A16E1AC1309F8
601772.5678271309,,,,95415782921166.86,FDE88016A65B2371F2C6E4F698A0C79598E46435,833,True,4136DA0962588710967033AC1127DA9C9E638C7D
159194.70545454544,,,,31101919330550.305,FDE88016A65B2371F2C6E4F698A0C79598E46435,825,False,4136DA0962588710967033AC1127DA9C9E638C7D
583927.2988235294,,,,92231244930981.17,FE68082A448F17A3D1700957B9F63176CECD334E,850,True,4136DA0962588710967033AC1127DA9C9E638C7D
174345.5043263288,,,,34312834434274.414,FE68082A448F17A3D1700957B9F63176CECD334E,809,False,4136DA0962588710967033AC1127DA9C9E638C7D
