distance_bucket,n_survive_0_1gwei,n_survive_0_5gwei,n_survive_1_0gwei,n_txs,size_bucket,total_profit_usd,total_profit_usd_at_0_1gwei,total_profit_usd_at_0_5gwei,total_profit_usd_at_1_0gwei
0,500,500,500,500,$10-100,17992.915514496734,17918.098962045362,17618.832752239872,17244.74998998304
0,700,600,483,729,<$10,2732.498762324796,2644.803112386204,2294.0205126318265,1855.5422629388563
0,223,223,223,223,>$100,94023.73309698276,93981.83357393023,93814.23548172016,93604.73786645751
0,1423,1323,1206,1452,,114749.1473738043,114544.73564836179,113727.08874659172,112705.03011937949
1,187,187,187,187,$10-100,5187.313735266949,5158.438773211229,5042.938924988359,4898.564114709765
1,648,492,386,692,<$10,2216.856905509751,2130.0195237043267,1782.6699964826275,1348.4830874555068
1,29,29,29,29,>$100,7680.93704483986,7675.190850169294,7652.206071487026,7623.475098134194
1,864,708,602,908,,15085.107685616564,14963.649147084854,14477.814992958007,13870.522300299459
2,60,60,60,60,$10-100,1418.3413594086455,1409.3045677310383,1373.1574010206082,1327.9734426325724
2,255,197,135,274,<$10,769.5181711030418,739.5115949878586,619.4852905271256,469.4524099512089
2,2,2,2,2,>$100,270.859219,270.572164947185,269.4239487359252,267.98867847185045
2,317,259,197,336,,2458.7187495116873,2419.388327666083,2262.06664028366,2065.4145310556305
3+,237,237,237,237,$10-100,6337.185222443629,6298.370971380217,6143.113967126554,5949.0427118094785
3+,788,595,445,843,<$10,2692.9641082821527,2579.6573332767057,2126.430233254922,1559.8963582276917
3+,19,19,19,19,>$100,3379.073373007359,3375.6481246242643,3361.947131091884,3344.820889176408
3+,1044,851,701,1099,,12409.222703733143,12253.67642928118,11631.491331473359,10853.759959213578
none,2509,2509,2509,2509,$10-100,68689.38728030617,68270.23938441354,66593.64780084272,64497.9083213793
none,9938,7427,5431,10701,<$10,32866.48811408666,31445.429181264273,25761.19344997471,18655.898785862744
none,190,190,190,190,>$100,37033.53733227148,36997.11994117774,36851.450376802786,36669.36342133409
none,12637,10126,8130,13400,,138589.41272666422,136712.78850685552,129206.29162762017,119823.17052857611
