executor,hour_utc,n_swaps
0000009EFFF5F06FB9B7818E610286D25144F895,0,5
0000009EFFF5F06FB9B7818E610286D25144F895,1,7
0000009EFFF5F06FB9B7818E610286D25144F895,2,10
0000009EFFF5F06FB9B7818E610286D25144F895,3,11
0000009EFFF5F06FB9B7818E610286D25144F895,4,4
0000009EFFF5F06FB9B7818E610286D25144F895,5,1
0000009EFFF5F06FB9B7818E610286D25144F895,6,4
0000009EFFF5F06FB9B7818E610286D25144F895,7,15
0000009EFFF5F06FB9B7818E610286D25144F895,8,8
0000009EFFF5F06FB9B7818E610286D25144F895,9,5
0000009EFFF5F06FB9B7818E610286D25144F895,10,7
0000009EFFF5F06FB9B7818E610286D25144F895,11,17
0000009EFFF5F06FB9B7818E610286D25144F895,12,15
0000009EFFF5F06FB9B7818E610286D25144F895,13,15
0000009EFFF5F06FB9B7818E610286D25144F895,14,12
0000009EFFF5F06FB9B7818E610286D25144F895,15,6
0000009EFFF5F06FB9B7818E610286D25144F895,16,8
0000009EFFF5F06FB9B7818E610286D25144F895,17,4
0000009EFFF5F06FB9B7818E610286D25144F895,18,15
0000009EFFF5F06FB9B7818E610286D25144F895,19,4
0000009EFFF5F06FB9B7818E610286D25144F895,20,10
0000009EFFF5F06FB9B7818E610286D25144F895,21,11
0000009EFFF5F06FB9B7818E610286D25144F895,22,8
0000009EFFF5F06FB9B7818E610286D25144F895,23,3
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,0,1
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,1,1
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,2,4
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,3,11
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,4,9
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,5,2
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,6,1
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,7,4
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,9,6
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,10,5
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,11,2
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,12,17
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,13,5
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,14,5
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,15,5
04943CD49AC19D6D3FC0355682E93CF7EF2BA80C,16,3
