column_name,data_type
block_time,timestamp(3)
block_number,bigint
block_hash,varbinary
value,uint256
index,bigint
success,boolean
from,varbinary
to,varbinary
gas_limit,bigint
gas_price,uint256
gas_used,bigint
max_fee_per_gas,bigint
max_priority_fee_per_gas,bigint
priority_fee_per_gas,bigint
operator_fee_constant,bigint
operator_fee_scalar,bigint
l1_gas_used,bigint
l1_gas_price,bigint
l1_fee,bigint
l1_fee_scalar,double
l1_block_number,bigint
l1_timestamp,bigint
l1_tx_origin,varbinary
l1_batch_number,bigint
l1_batch_tx_index,bigint
chain_id,varchar
nonce,bigint
data,varbinary
hash,varbinary
type,varchar
access_list,"array(row(address varbinary, storagekeys array(varbinary)))"
authorization_list,"array(row(chainid bigint, address varbinary, nonce bigint, r varchar, s varchar, yparity varchar))"
block_date,date
gas_used_for_l1,bigint
effective_gas_price,bigint
