table_name,table_schema
transactions,robinhood
transactions_0000,robinhood
transactions_0001,robinhood
inbox_call_sendcontracttransaction,robinhood_ethereum
inbox_call_sendl1fundedcontracttransaction,robinhood_ethereum
inbox_call_sendl1fundedunsignedtransaction,robinhood_ethereum
inbox_call_sendl1fundedunsignedtransactiontofork,robinhood_ethereum
inbox_call_sendunsignedtransaction,robinhood_ethereum
inbox_call_sendunsignedtransactiontofork,robinhood_ethereum
outbox_call_executetransaction,robinhood_ethereum
outbox_call_executetransactionsimulation,robinhood_ethereum
outbox_evt_outboxtransactionexecuted,robinhood_ethereum
arbsys_evt_l2tol1transaction,robinhood_robinhood
